T42.2X5A,E936.0,4
T42.2X5S,E936.0,4
T42.6X1A,967.3,4
T42.6X2A,967.3,4
T42.6X3A,967.3,4
T42.6X4A,967.3,4
T42.6X5A,E937.8,4
T42.6X5S,E937.8,4
T42.71XA,E852.8,4
T42.72XA,E950.3,4
T42.73XA,E962.0,4
T42.74XA,E980.4,4
T42.75XA,E937.9,4
T42.75XS,E937.9,4
T45.7X2A,E950.4,4
T45.7X3A,E962.0,4
T45.8X1A,E858.2,4
T45.8X2A,E950.4,4
T45.8X3A,E962.0,4
T45.8X4A,E980.4,4
T45.8X5A,E933.8,4
T45.8X5S,E933.8,4
T45.91XA,E858.2,4
T45.92XA,E950.4,4
T45.93XA,E962.0,4
T45.94XA,E980.4,4
T45.95XA,E934.9,4
T48.201A,E858.6,4
T48.291A,E858.6,4
T50.2X1A,E858.5,4
T50.2X2A,E950.4,4
T50.2X3A,E962.0,4
T50.2X4A,E980.4,4
T50.7X1A,E854.3,4
T50.7X2A,E950.4,4
T50.7X3A,E962.0,4
